ID,proper,dist,absmag,ci,rarad,decrad,H_1,H_2,b,l,cos(l-33deg),sin(l/33deg),rad
36598,,19.7628,6.201,0.863,1.976628112,0.6462927013,,,0.4250332337,3.182361265,-0.860150635,0.4646592806,2.64629924
36689,,25.2972,2.425,0.521,1.981180126,-0.389139777,,,-0.01382310759,3.284013386,-0.9074678382,-0.4200814196,-2.70804981
36721,,24.5519,6.21,0.9,1.982851549,-0.1203697315,,,0.1188639042,3.518250514,-0.9801970625,-0.1966272795,-2.943620484
36726,,28.9268,5.283,0.724,1.98298832,-0.9244687809,,,-0.264649106,2.805029743,-0.6117203088,-0.7635323558,-2.246251147
36727,,11.4745,10.101,0.942,1.982968833,1.098536424,,,0.5111451592,2.683511365,-0.5113156828,0.7495495649,2.169451213
36744,Castor,15.5958,0.615,0.034,1.98355827,0.556555413,,,0.4028871591,3.277559194,-0.9047374107,0.3918635524,2.732861016
36747,,26.7451,9.394,1.498,1.983792142,0.3898652408,,,0.3442054479,3.44519634,-0.9631289576,0.2532593115,2.884458958
36809,,12.7975,10.824,1.591,1.9869063,0.9573082307,,,0.4992797349,2.844390254,-0.6423755586,0.6728349754,2.333039283
36821,,25.2717,6.767,1.049,1.987266709,-0.9152948902,,,-0.2583304575,2.812419225,-0.6175491821,-0.7604334263,-2.252872842
36879,,14.1743,9.112,1.455,1.990190038,-0.05429334365,,,0.1568723412,3.573319033,-0.9896106012,-0.1420082018,-2.999066566
36955,,28.0662,5.729,0.797,1.993904628,1.004430827,,,0.5087860727,2.791493042,-0.6009560564,0.6980421814,2.281593961
36997,,29.7354,8.104,,1.995966764,0.6784874632,,,0.4486646798,3.152941464,-0.8447753079,0.482158696,2.62295538
37111,,10.6033,11.553,1.588,2.001379207,-0.3704387524,,,0.01173103207,3.290986794,-0.9103754292,-0.4137547784,-2.715012714
37173,Procyon,3.5142,2.671,0.432,2.004083041,0.09119333188,,,0.2367862555,3.698131672,-0.9998106411,-0.0189167648,-3.122674563
37182,,14.5815,8.841,1.379,2.004440732,0.03811210566,,,0.2128014176,3.649553155,-0.9976862062,-0.06645343722,-3.075083342
37243,,14.2106,6.417,0.891,2.007079778,-0.06278834355,,,0.1676506558,3.557611719,-0.9872303207,-0.1570659296,-2.983817435
37387,,26.9614,7.576,1.19,2.014775342,0.8590893032,,,0.5013746813,2.95800357,-0.7251190385,0.6038695972,2.447176981
